text,score
"התחלנו, בוקר טוב - - -
",1
"אפשר לקרוא את החומר, אני לא הספקתי לקרוא. 
",4
"אז בבקשה, יש לכם את החומרים וגם שלחתי לכם את זה. 
",3
"יש לנו עכשיו, את תתני לנו לקרוא?
",5
"בטח, בטח, בבקשה, תוכלו לקרוא - - -
",1
"אין לנו שום חומר לפנינו.
",5
"אז את יכולה לתת לנו כמה דקות לקרוא את החומר?
",3
"אנחנו נתחיל - - -
",4
"עידית, איפה החבר'ה שלכם, למה לא באו בזמן?
",3
"אני לא גננת, אני בכנסת ואני מתחילה דיון. הדיון יתחיל בשעה 08:30 עם מי שנמצא כאן. גם אם הייתם משאירים אותי לבד, הייתי דנה בסעיפים והייתם מצביעים עליהם. 
",6
"כולל חוק האזרחות אם - - -
",
"לא יהיה שום מחטף של אף חקיקה, הבטחתי זאת אתמול ואני עומדת במילתי. כנסת ישראל תתנהל בצורה מסודרת, בצורה שקופה לציבור. הכול בסדר, תנוח דעתכם, בחיים לא יקרו כאן מחטפים. אנחנו נעשה את הכול לפי מה שהבטחתי אתמול. 
",3
"עידית, אין מישהו אחד בוועדה שחושב שאת תעשי מחטפים. 
",3
"עידית, לגבי מחטפים תדברי גם על העתיד ולא רק על העבר. 
",5
"- - - לפני שאתם נותנים לעצמכם קומפלימנטים, זה לא מגיע לכם. 
",5
"אני מדברת גם על העבר, זו מדינה דמוקרטית. 
",4
"לגבי העבר את לא יכולה לדבר על מחטפים. 
",3
"לא נכון. 
",5
"זה ועוד-איך נכון. 
",5
"אופיר, זו מדינה דמוקרטית. 
",3
"את המחטף הכי גדול עשיתם. 
",5
"אנשים פה, ממש לא - - -
",5
"כל הממשלה הזאת זה מחטף. 
",6
"יש מעט שמכיל את המרובה והכול בסדר. 
",4
"עידית, ""מחטף"" זה רק להצביע? זה שלא הצבעתם זה מחטף. 
",4
"לא, ממש לא, ממש לא, זה לעשות דיון ולכן - - -
",5
"את לא מבינה את זה, גם - - - זה מחטף
",5
"ולכן - - - חבר הכנסת דוד ביטן - - -
",4
"אם לא היה לכם רוב - - - אז לא הצבעתם - - -
",3
"חבר הכנסת דוד ביטן, לכן עשינו דיון. 
",3
"זה לא מחטף? אז מה זה מחטף?
",4
"- - - 
",
"לא, זה לא עניין של רוב, זה כדי לעשות את הדיון, דיון צריך לעשות, היום אנחנו יכולים להצביע על החקיקה הזאת גם בלי דיון - - 
",3
"מביאים אותנו במיוחד, ראו שאין להם רוב - -
",4
"- - כי עשינו את הדיון אתמול. 
",3
"- - ולא הצביעו, זה לא מחטף? זה גם מחטף, סוג של מחטף. 
",5
"היום יום שני , י""ח בתמוז תשפ""א, ה-28 ביולי 2021 למניינם. 
",1
"אני מציע שלא תתנו לעצמכם קומפלימנטים. 
",5
"ודאי לא בנושאי מחטפים.
",2
"הדיון מתחיל, ישיבה מספר 15. על סדר היום - - -
",3
"אפשר להגיש הצעה לסדר?
",2
"לא, אנחנו לא עושים הצעה לסדר. יש הרבה סעיפים ולכן כל אחד יכול לדבר - - -
",4
"מנהג הוועדה. 
",
"אם היה רק סעיף אחד אז היה אפשר? 
",3
"על כל סעיף כל אחד ואחד יוכל לדבר. 
",3
"את יכולה להצביע על סעיף א? 
",2
"אנחנו עכשיו מתחילים - - - לא, אנחנו לא נצביע. 
",5
"לא מצביעים עכשיו, למה? 
",4
"כי לא עושים מחטפים, לא מצביעים כי לא עושים מחטפים. 
",3
"כי אנחנו לא עושים מחטפים. לא, אנחנו נתחיל בסעיף שאני אראה לנכון להתחיל בו. 
",3
"עידית - - -
",
"אה, כאילו רק את יכולה לפי הנוחות שלך?
",6
"עשינו את הדיון אתמול - - -
",2
"אבל לפני דקה הסברת שהסתיים הדיון. 
",5
"אתם לא מנהלים את הוועדה, אני מנהלת את הוועדה. 
",6
"אני רואה: ""סעיף א, הסמכת ועדה לדיון בהצעת הממשלה להאריך אה תוקפו של חוק האזרחות והכניסה לישראל (הוראת שעה), התשס""ג– 2003"".
",4
"מי בעד?
",2
"נכון, וכשאני ארצה להביע עליו אני - - -
",5
"- - - וסעי למסיבה, סעי למסיבה של הילד. 
",5
"""סעיף ב: בקשת הממשלה להקדמת הדיון בהצעות החוק הבאות, לפני הקריאה הראשונה: - - -
",3
"- - - שנוכל להצביע. 
",
"למה אתה צועק?
",4
"את מביאה אותנו ב-20:30 - - -
",5
"אבל למה אתה צועק? בוקר טוב, חבר הכנסת אוסמה סעדי.
",2
"- - - אין לך רוב - - -
",4
"לא אמרתי שנעלה את זה, ממש לא, לא אמור להיות לי רוב. חוק האזרחות, תנוח דעתכם, יכול להיות שהוא לא יעלה פה לדיון. 
",4
"גבירתי, אני מבקש רשות דיבור. 
",3
"לא, אתם לא תבקשו רשות, ברגע - - -
",5
"אני מבקש, תכבדי. 
",5
"אתה נרשמת. 
",6
"- - - פתיחת הדיון. 
",
"לא עכשיו. הצעת-חוק יסוד: הממשלה - -
",4
"אם היינו תקועים בפקק? 
",3
"- - (תיקון מס׳ 10) (מ/1410). 
",3
"אם היינו תקועים בפקק.
",3
"ממש לא, זה לא מתוכנן. 
",5
"אה, לא היית מצביעה עכשיו. 
",4
"ממש לא. 
",5
"את מאמינה לעצמך? 
",5
"אמרנו לכם גם שזה לא יעלה בבוקר ולא יהיו מחטפים, לא הקשבתם. בועז טופורובסקי, בוקר טוב, ממלא מקום יושב-ראש הקואליציה, חבר הכנסת, אין עליך. 
",2
"יד ימיני. 
",
