text,score
"התחלנו, בוקר טוב - - -
",0
"אפשר לקרוא את החומר, אני לא הספקתי לקרוא. 
",0
"אז בבקשה, יש לכם את החומרים וגם שלחתי לכם את זה. 
",0
"יש לנו עכשיו, את תתני לנו לקרוא?
",1
"בטח, בטח, בבקשה, תוכלו לקרוא - - -
",0
"אין לנו שום חומר לפנינו.
",1
"אז את יכולה לתת לנו כמה דקות לקרוא את החומר?
",0
"אנחנו נתחיל - - -
",0
"עידית, איפה החבר'ה שלכם, למה לא באו בזמן?
",0
"אני לא גננת, אני בכנסת ואני מתחילה דיון. הדיון יתחיל בשעה 08:30 עם מי שנמצא כאן. גם אם הייתם משאירים אותי לבד, הייתי דנה בסעיפים והייתם מצביעים עליהם. 
",1
"כולל חוק האזרחות אם - - -
",
"לא יהיה שום מחטף של אף חקיקה, הבטחתי זאת אתמול ואני עומדת במילתי. כנסת ישראל תתנהל בצורה מסודרת, בצורה שקופה לציבור. הכול בסדר, תנוח דעתכם, בחיים לא יקרו כאן מחטפים. אנחנו נעשה את הכול לפי מה שהבטחתי אתמול. 
",0
"עידית, אין מישהו אחד בוועדה שחושב שאת תעשי מחטפים. 
",0
"עידית, לגבי מחטפים תדברי גם על העתיד ולא רק על העבר. 
",1
"- - - לפני שאתם נותנים לעצמכם קומפלימנטים, זה לא מגיע לכם. 
",1
"אני מדברת גם על העבר, זו מדינה דמוקרטית. 
",0
"לגבי העבר את לא יכולה לדבר על מחטפים. 
",0
"לא נכון. 
",1
"זה ועוד-איך נכון. 
",1
"אופיר, זו מדינה דמוקרטית. 
",0
"את המחטף הכי גדול עשיתם. 
",1
"אנשים פה, ממש לא - - -
",1
"כל הממשלה הזאת זה מחטף. 
",1
"יש מעט שמכיל את המרובה והכול בסדר. 
",0
"עידית, ""מחטף"" זה רק להצביע? זה שלא הצבעתם זה מחטף. 
",0
"לא, ממש לא, ממש לא, זה לעשות דיון ולכן - - -
",1
"את לא מבינה את זה, גם - - - זה מחטף
",1
"ולכן - - - חבר הכנסת דוד ביטן - - -
",0
"אם לא היה לכם רוב - - - אז לא הצבעתם - - -
",0
"חבר הכנסת דוד ביטן, לכן עשינו דיון. 
",0
"זה לא מחטף? אז מה זה מחטף?
",0
"- - - 
",
"לא, זה לא עניין של רוב, זה כדי לעשות את הדיון, דיון צריך לעשות, היום אנחנו יכולים להצביע על החקיקה הזאת גם בלי דיון - - 
",0
"מביאים אותנו במיוחד, ראו שאין להם רוב - -
",0
"- - כי עשינו את הדיון אתמול. 
",0
"- - ולא הצביעו, זה לא מחטף? זה גם מחטף, סוג של מחטף. 
",1
"היום יום שני , י""ח בתמוז תשפ""א, ה-28 ביולי 2021 למניינם. 
",0
"אני מציע שלא תתנו לעצמכם קומפלימנטים. 
",1
"ודאי לא בנושאי מחטפים.
",0
"הדיון מתחיל, ישיבה מספר 15. על סדר היום - - -
",0
"אפשר להגיש הצעה לסדר?
",0
"לא, אנחנו לא עושים הצעה לסדר. יש הרבה סעיפים ולכן כל אחד יכול לדבר - - -
",0
"מנהג הוועדה. 
",
"אם היה רק סעיף אחד אז היה אפשר? 
",0
"על כל סעיף כל אחד ואחד יוכל לדבר. 
",0
"את יכולה להצביע על סעיף א? 
",0
"אנחנו עכשיו מתחילים - - - לא, אנחנו לא נצביע. 
",1
"לא מצביעים עכשיו, למה? 
",0
"כי לא עושים מחטפים, לא מצביעים כי לא עושים מחטפים. 
",0
"כי אנחנו לא עושים מחטפים. לא, אנחנו נתחיל בסעיף שאני אראה לנכון להתחיל בו. 
",1
"עידית - - -
",
"אה, כאילו רק את יכולה לפי הנוחות שלך?
",1
"עשינו את הדיון אתמול - - -
",0
"אבל לפני דקה הסברת שהסתיים הדיון. 
",1
"אתם לא מנהלים את הוועדה, אני מנהלת את הוועדה. 
",1
"אני רואה: ""סעיף א, הסמכת ועדה לדיון בהצעת הממשלה להאריך אה תוקפו של חוק האזרחות והכניסה לישראל (הוראת שעה), התשס""ג– 2003"".
",0
"מי בעד?
",0
"נכון, וכשאני ארצה להביע עליו אני - - -
",
"- - - וסעי למסיבה, סעי למסיבה של הילד. 
",1
"""סעיף ב: בקשת הממשלה להקדמת הדיון בהצעות החוק הבאות, לפני הקריאה הראשונה: - - -
",0
"- - - שנוכל להצביע. 
",
"למה אתה צועק?
",0
"את מביאה אותנו ב-20:30 - - -
",
"אבל למה אתה צועק? בוקר טוב, חבר הכנסת אוסמה סעדי.
",0
"- - - אין לך רוב - - -
",
"לא אמרתי שנעלה את זה, ממש לא, לא אמור להיות לי רוב. חוק האזרחות, תנוח דעתכם, יכול להיות שהוא לא יעלה פה לדיון. 
",0
"גבירתי, אני מבקש רשות דיבור. 
",0
"לא, אתם לא תבקשו רשות, ברגע - - -
",0
"אני מבקש, תכבדי. 
",0
"אתה נרשמת. 
",0
"- - - פתיחת הדיון. 
",
"לא עכשיו. הצעת-חוק יסוד: הממשלה - -
",0
"אם היינו תקועים בפקק? 
",0
"- - (תיקון מס׳ 10) (מ/1410). 
",0
"אם היינו תקועים בפקק.
",0
"ממש לא, זה לא מתוכנן. 
",0
"אה, לא היית מצביעה עכשיו. 
",0
"ממש לא. 
",0
"את מאמינה לעצמך? 
",1
"אמרנו לכם גם שזה לא יעלה בבוקר ולא יהיו מחטפים, לא הקשבתם. בועז טופורובסקי, בוקר טוב, ממלא מקום יושב-ראש הקואליציה, חבר הכנסת, אין עליך. 
",0
"יד ימיני. 
",
"הצעת חוק-יסוד: הממשלה (תיקון מס׳ 10) (מ/1410). ינמק, נציג משרד המשפטים, עורך הדין יעקב פרידברג. הוא כאן איתנו? עוד לא הגיע. הצעת חוק הביטוח הלאומי - - -
",0
"איזה סעיף?
",0
"תקשיבו רגע, רצינו להתחיל עם הסעיף הראשון של חוק-יסוד: הממשלה, אבל עורך הדין יעקב פרידברג לא נמצא כאן. 
",0
"כולנו הגענו לכאן ואנחנו מחכים למר יעקב? 
",1
"מה עם סעיף א?
",0
"הוא יעלה כשיהיה רצון להעלות אותו, כרגע הוא לא על סדר היום. הצעת חוק לתיקון פקודת התעבורה (מס׳ 120) (תיקון מס׳ 2), התשפ״א–2021 (מ/1415). מדובר בסעיף 8, אנחנו הולכים לפי נציגי המשרדים שנמצאים כאן. עורכת הדין חווה ראובני, בבקשה. 
",0
"תודה רבה לגברת ראובני שבאה בזמן.
",1
"למה אנשי הממשלה לא הגיעו בזמן? 
",1
"רגע, הפסקה, טלפון .
",1
"אלקין נותן הוראות. 
",0
"תמסרי לזאב בוקר טוב. 
",0
"אוקיי, חבר'ה, באים עוד יומיים. 
",0
"אני לא מאמינה, אני לא מאמינה, זה מה שאתה רוצה עכשיו להגיד לי? אני לא מאמינה, אני לא מאמינה. 
",1
"זאב, לא עושים את זה. 
",0
"תנו לה לדבר בבקשה, אני אוציא לסדר היום, חבל על הזמן. 
",1
"אל תאיימי, אפשר להגביר את המזגן?
",1
"עורכת הדין ראובני, בבקשה. 
",0
"בוקר טוב. 
",0
"אל תפריעו לה, תאכלו ותשתו, אל תפריעו לה. 
",0
