CommitteeID,Name,CategoryID,CategoryDesc,KnessetNum,CommitteeTypeID,CommitteeTypeDesc,Email,StartDate,FinishDate,AdditionalTypeID,AdditionalTypeDesc,ParentCommitteeID,CommitteeParentName,IsCurrent,LastUpdatedDate
1,ועדת הכנסת,1,ועדת הכנסת,15,70,ועדת הכנסת,vadatk@knesset.gov.il,1999-06-07T00:00:00,,991,קבועה,,,True,2017-04-24T16:47:06
2,ועדת הכספים,2,ועדת הכספים,15,71,ועדה ראשית,,1999-06-07T00:00:00,,991,קבועה,,,True,2015-03-20T12:02:57
3,ועדת החוץ והביטחון,4,ועדת החוץ והביטחון,15,71,ועדה ראשית,,1999-06-07T00:00:00,,991,קבועה,,,True,2015-03-20T12:02:57
4,ועדת הכלכלה,3,ועדת הכלכלה,15,71,ועדה ראשית,,1999-06-07T00:00:00,,991,קבועה,,,True,2015-03-20T12:02:57
5,ועדת הפנים ואיכות הסביבה,5,ועדת הפנים והגנת הסביבה,15,71,ועדה ראשית,,1999-06-07T00:00:00,,991,קבועה,,,True,2015-03-20T12:02:57
6,"ועדת החוקה, חוק ומשפט",6,"ועדת החוקה, חוק ומשפט",15,71,ועדה ראשית,vhuka@knesset.gov.il,1999-06-07T00:00:00,,991,קבועה,,,True,2015-03-20T12:02:57
7,"ועדת העלייה, הקליטה והתפוצות",27,"ועדת העלייה, הקליטה והתפוצות",15,71,ועדה ראשית,,1999-06-07T00:00:00,,991,קבועה,,,True,2015-03-20T12:02:57
8,ועדת החינוך והתרבות,8,"ועדת החינוך, התרבות והספורט",15,71,ועדה ראשית,,1999-06-07T00:00:00,,991,קבועה,,,True,2015-03-20T12:02:57
9,"ועדת העבודה, הרווחה והבריאות",28,ועדת העבודה והרווחה,15,71,ועדה ראשית,,1999-06-07T00:00:00,,991,קבועה,,,True,2015-03-20T12:02:57
10,הוועדה לענייני ביקורת המדינה,10,הוועדה לענייני ביקורת המדינה,15,71,ועדה ראשית,,1999-06-07T00:00:00,,991,קבועה,,,True,2015-03-20T12:02:57
11,הוועדה לקידום מעמד האישה,11,הוועדה לקידום מעמד האישה ולשוויון מגדרי,15,71,ועדה ראשית,,1999-06-07T00:00:00,,991,קבועה,,,True,2015-03-20T12:02:57
12,הוועדה המיוחדת לענייני מחקר ופיתוח מדעי וטכנולוגי,13,ועדת  המדע  והטכנולוגיה,15,72,ועדה מיוחדת,,1999-06-07T00:00:00,,992,מיוחדת,,,True,2015-03-20T12:02:57
13,ועדת האתיקה,14,ועדת האתיקה,15,71,ועדה ראשית,,1999-06-07T00:00:00,,991,קבועה,,,True,2015-03-20T12:02:57
14,הוועדה המיוחדת למאבק בנגע הסמים,12,הוועדה המיוחדת למאבק בשימוש בסמים ובאלכוהול,15,72,ועדה מיוחדת,,1999-06-07T00:00:00,,992,מיוחדת,,,True,2020-05-21T15:39:38
15,הוועדה המיוחדת לבחינת בעיית העובדים הזרים,15,הוועדה המיוחדת לעובדים זרים,15,72,ועדה מיוחדת,,1999-06-07T00:00:00,,992,מיוחדת,,,True,2020-05-21T15:39:38
16,הוועדה המיוחדת לקידום מעמד הילד,25,הוועדה המיוחדת לזכויות הילד,15,72,ועדה מיוחדת,,1999-06-07T00:00:00,,992,מיוחדת,,,True,2020-05-21T15:39:38
20,ועדת הכנסת,1,ועדת הכנסת,16,70,ועדת הכנסת,noabiran@knesset.gov.il,2003-02-17T00:00:00,,991,קבועה,,,True,2015-03-20T12:02:57
21,ועדת הכספים,2,ועדת הכספים,16,71,ועדה ראשית,liatk@knesset.gov.il,2003-02-17T00:00:00,,991,קבועה,,,True,2015-03-20T12:02:57
22,ועדת החוץ והביטחון,4,ועדת החוץ והביטחון,16,71,ועדה ראשית,dafnas@knesset.gov.il,2003-02-17T00:00:00,,991,קבועה,,,True,2015-03-20T12:02:57
23,ועדת הכלכלה,3,ועדת הכלכלה,16,71,ועדה ראשית,vdept2@knesset.gov.il,2003-02-17T00:00:00,,991,קבועה,,,True,2015-03-20T12:02:57
